Error of Modflow file
No,date,STORAGE_IN,CONSTANT_HEAD_IN,DRAINS_IN,RECHARGE_IN,TOTAL_IN,STORAGE_OUT,CONSTANT_HEAD_OUT,DRAINS_OUT,RECHARGE_OUT,TOTAL_OUT,IN-OUT,PERCENT_DISCREPANCY
    1, 01/06/1995,      82140472.00000,             0.00000,             0.00000,     345021408.00000,     427161888.00000,      -2431844.50000,            -0.00000,    -425888768.00000,            -0.00000,    -428320608.00000,      -1158720.00000,            -0.27000
    1, 01/06/1995,      82486192.00000,             0.00000,             0.00000,     342906880.00000,     425393088.00000,      -1268448.75000,            -0.00000,    -424149696.00000,            -0.00000,    -425418144.00000,        -25056.00000,            -0.01000
    1, 01/06/1995,      81194752.00000,             0.00000,             0.00000,     342412896.00000,     423607648.00000,      -1294661.62500,            -0.00000,    -422311392.00000,            -0.00000,    -423606048.00000,          1600.00000,             0.00000
    1, 01/06/1995,      79976616.00000,             0.00000,             0.00000,     343897376.00000,     423873984.00000,      -1956891.00000,            -0.00000,    -424272448.00000,            -0.00000,    -426229344.00000,      -2355360.00000,            -0.55000
    1, 01/06/1995,      79636360.00000,             0.00000,             0.00000,     343561344.00000,     423197696.00000,      -1456686.12500,            -0.00000,    -421737376.00000,            -0.00000,    -423194048.00000,          3648.00000,             0.00000
    1, 01/06/1995,      78970632.00000,             0.00000,             0.00000,     343342208.00000,     422312832.00000,      -1413738.50000,            -0.00000,    -421373856.00000,            -0.00000,    -422787584.00000,       -474752.00000,            -0.11000
    1, 01/06/1995,      77485376.00000,             0.00000,             0.00000,     344941856.00000,     422427232.00000,      -2516706.75000,            -0.00000,    -419905376.00000,            -0.00000,    -422422080.00000,          5152.00000,             0.00000
    1, 01/06/1995,      77999744.00000,             0.00000,             0.00000,     341145888.00000,     419145632.00000,       -824757.43750,            -0.00000,    -418317088.00000,            -0.00000,    -419141856.00000,          3776.00000,             0.00000
    1, 01/06/1995,      76148040.00000,             0.00000,             0.00000,     342810976.00000,     418959008.00000,      -1444603.00000,            -0.00000,    -417511424.00000,            -0.00000,    -418956032.00000,          2976.00000,             0.00000
    1, 01/06/1995,      75220624.00000,             0.00000,             0.00000,     346073792.00000,     421294400.00000,      -2724642.75000,            -0.00000,    -418601920.00000,            -0.00000,    -421326560.00000,        -32160.00000,            -0.01000
    1, 01/06/1995,      75553064.00000,             0.00000,             0.00000,     341314848.00000,     416867904.00000,      -1206213.00000,            -0.00000,    -415767104.00000,            -0.00000,    -416973312.00000,       -105408.00000,            -0.03000
    1, 01/06/1995,      74342968.00000,             0.00000,             0.00000,     343287904.00000,     417630880.00000,      -1127691.00000,            -0.00000,    -416503264.00000,            -0.00000,    -417630944.00000,           -64.00000,            -0.00000
    1, 01/06/1995,      72893920.00000,             0.00000,             0.00000,     344891040.00000,     417784960.00000,      -2477956.25000,            -0.00000,    -415298688.00000,            -0.00000,    -417776640.00000,          8320.00000,             0.00000
    1, 01/06/1995,      73250104.00000,             0.00000,             0.00000,     343807232.00000,     417057344.00000,      -1404067.00000,            -0.00000,    -415645280.00000,            -0.00000,    -417049344.00000,          8000.00000,             0.00000
    1, 01/06/1995,      72156488.00000,             0.00000,             0.00000,     342520384.00000,     414676864.00000,      -1358299.25000,            -0.00000,    -417470336.00000,            -0.00000,    -418828640.00000,      -4151776.00000,            -1.00000
